Word,Meaning,t5_pred,gpt2_pred,score_t5,score_gpt2,score_t5_vivian,score_t5_pun,score_t5_justin,score_gpt2_vivian,score_gpt2_pun,score_gpt2_justin
speroma,incredible; not able to be imagined,a feeling of being a person or thing,a feeling of happiness or happiness,0,0,,,,,,
explum,small and insignificant,not a good thing,not able to be solved,2,2,,,,,,
rolly,a measure of the ability of a surface to reflect light,a high light that is used to measure the light that hits it,the amount of light that passes through a surface,2,2,,,,,,
fiser,"never changing, always the same",a condition that is not able to be re-established,having the ability to change or change,2,2,,,,,,
ressis,of a plan or scheme to have the opposite outcome of what was expected,to gain popularity,to cause something to be more or less attractive,1,2,,,,,,
mitte,a lover of words,a person who loves words and creates them into new ones,a person who is a creative artist who creates a new thing or idea,8,2,,,,,,
scalle,going without things that are required for a healthy or happy existence,deprived of a certain amount of something,not capable of being maintained,7,2,,,,,,
belene,used to describe someone who take’s advantage of an opportunity or situation for self-gain,a person who is a person who is a person who is a p,having a strong desire to be loved,0,1,,,,,,
seher,to block or fill with obstacles,to prevent or prevent something from happening,to cause something to move in a certain direction,3,1,,,,,,
sceic,a way of speaking that is typical of a certain group or culture,a language that is used to describe a particular language,the meaning of something,2,1,,,,,,
atinal,"a large amount of money, property, or possessions",the ability to buy something,the quality of being rich or wealthy,2,7,,,,,,
comoly,residing or belonging to an area with rugged and rolling slopes and a forest-like region,"a large, rocky area",having a flat surface,3,1,,,,,,
hirry,natural without planning or thought,able to be able to be able to be able to b,not naturally; naturally,0,2,,,,,,
artax,to pay attention to or study something closely,to be able to pass tests,to drive in a certain direction,2,1,,,,,,
fulic,To try to win something such as a prize or award,to participate in a game,to play in a game against a rival or rival,4,5,,,,,,
evism,empty on the inside,empty,a small hole in a tree,6,2,,,,,,
freted,"the act or product of changing a text, document, speech, etc., from one language to another",a basic language that is used to describe a particular language,the process of learning and understanding,1,0,,,,,,
subfic,someone who leaves one group and joins another with different goals or beliefs,a person who is not a person or group,having a strong desire to do something,1,1,,,,,,
makin,associated with an earlier period of time,a period of time that is a period of time,the period of time in which a woman is married before having a baby,2,1,,,,,,
brite,"a person in control of a group of people, especially military groups",a person who is a soldier or a soldier,a commander in charge of a group or unit,3,9,,,,,,
